Title,Research Finding 研究发现功能段,Transition I 背景类过渡段,Background information
The technology and digital financial risk management model using intelligent data processing,,"2. 
Driven by a new round of technology, the integration of traditional finance and technology continues to deepen, and financial technology emerges as the times require. The Financial Stability Board (FSB) defines financial technology as financial innovation enabled by technology. Moreover, financial technology can create new financial models and products, and reshape financial operation processes and applications, thereby having an important impact on financial markets, financial institutions and financial operations. Compared with traditional finance, with the empowerment of big data, cloud computing, blockchain, artificial intelligence and the Internet of Things and other technologies, the service efficiency of financial technology has been significantly improved. Moreover, the financial transaction boundary of financial institutions expands outwards and has significant decentralization characteristics [1]. Its innovative advantage lies in breaking the time and space limitations existing in the traditional financial model, getting rid of the constraints of physical outlets and manual services on financial services, and greatly reducing the cost of financial services, search costs and matching costs. Therefore, financial technology has the characteristics of inclusive finance, that is, ""financial services are available"", ""financing is available"" and ""financial infrastructure is universal"" [2]. However, the essence of financial technology is still finance, and its core function is still resource allocation. It uses modern Internet technology to innovate financial models and improve the efficiency of financial services. Therefore, financial technology also has financial risks, and compared with traditional financial models, in addition to traditional financial risks, there are also technical risks caused by technological empowerment.","""1"": ""Financial technology poses a threat to financial stability and may cause potential harm due to information asymmetry and technical difficulties in regulation."",  ""2"": ""Financial technology is defined as financial innovation enabled by technology, which can create new financial models and products and reshape financial operations."",  ""3"": ""Financial technology has the characteristics of inclusive finance, providing availability of financial services, financing, and universal financial infrastructure."",  ""4"": ""Financial technology improves service efficiency by breaking time and space limitations, reducing the cost of financial services, search costs, and matching costs."",  ""5"": ""Financial technology carries both traditional financial risks and technical risks caused by technological empowerment."""
Effect of armed conflicts on humanitarian operations: Total factor productivity and efficiency of rural hospitals,"5.
Based on the data, we obtain TFP as the residual of a Cobb Douglas production function using a fixed effect model for years 2007e2011 and estimate the relative efficiency of hospitals using data envelopment analysis. We find that conflict has a positive effect on TFP while it has a negative effect on efficiency. The results also show that efficiency variability is higher in peace and post-conflict hospitals and lower in medium and severe-conflict hospitals. In addition, we find that both TFP and efficiency increase in post conflict. These results lead to operations management implications and opportunities for future research related to sourcing decisions, supply chain and workforce flexibility, behavioral impacts on the workforce, and humanitarian response to conflicts.","2.
As stated by Uppsala Universitet, 24 developing countries experienced active armed conflicts in 2013. Each of these armed conflicts (henceforth referred to as conflicts) caused at least 25 deaths and affected millions of people worldwide (Uppsala-Universitet, 2014). Common characteristics of the 24 developing countries suffering conflicts in 2013 were a gross national income per capita below US$11,905 as determined by the World Bank as well as their economic dependence on mining, hydrocarbons, or agricultural activities.","""1"": ""24 developing countries experienced active armed conflicts in 2013, causing at least 25 deaths and affecting millions of people worldwide"",  ""2"": ""Common characteristics of these countries were low gross national income per capita and economic dependence on mining, hydrocarbons, or agricultural activities"",  ""3"": ""Rural hospitals are one of the first layers of humanitarian response to conflicts, facing challenges such as demand changes, destruction, unrest, violence, fear, transportation problems, and disruptions in the supply of medical items"",  ""4"": ""Panel data set with information on 163 rural public hospitals in Colombia from 2007-2011, combined with cross-sectional data on conflict at the municipality level"",  ""5"": ""Socio-economic control variables at the municipality level obtained from different government organizations in Colombia, field visits to rural hospitals, and interviews with staff from the Ministry of Health and rural hospitals in conflict zones were conducted"""
"Which night lights data should we use in economics, and where?","In the main part of the paper we report on the relationship between night lights and Indonesian GDP at the second sub-national level for 497 spatial units. The DMSP data do not appear to be a suitable proxy for GDP outside of cities, with a negative relationship between DMSP lights and the real GDP of non-urban spatial units, while VIIRS data positively relate to GDP. The negative lights-GDP relationship is especially for rural areas of low population density, in line with the conclusion of Chen and Nordhaus (2011) that luminosity data do not provide reliable estimates of economic activity for low output density regions. A related finding with cross-country data comes from Keola et al. (2015); DMSP night lights negatively relate to GDP if agriculture is a large share of GDP, while there is a positive relationship otherwise. In Indonesia’s urban sector, the lights-GDP relationship is positive irrespective of the type of night lights data used, but the relationship is twice as noisy if the DMSP data are used rather than the VIIRS data. We also find spatial inequality considerably understated by the DMSP data, especially in the urban sector. A Pareto-based adjustment from Bluhm and Krause (2018) to deal with top-coding in DMSP data has a modest effect but the adjusted data still greatly understate spatial inequality, and miss much of the intra-city heterogeneity in brightness (coming from key economic facilities) for Jakarta.

Similar patterns are evident for the other two countries we study. Spatial inequality is understated if the DMSP data are used as a proxy for local economic activity, especially in the urban sector or in higher density regions. Night lights data have higher predictive power for sub-national GDP when working with more aggregated spatial units, such as prov inces, while the gap between DMSP and VIIRS in terms of predictive power gets wider for analyses based on smaller or lower level units within the administrative hierarchy. The data for China allow us to compare lights-GDP relationships in the primary sector with those in industrial and services sectors and this comparison shows that night lights data are a poor proxy for primary sector economic activity. Overall, our results suggest that great caution is needed if development economists use night lights data, not only for low density rural areas but also when studying the spatial patterns of urban development.","Continued use of DMSP data by economists reflects several factors. First, there is larger scholarly impact, in terms of citations, from Henderson et al. (2012) who argue DMSP lights data can be used successfully in a wide range of circumstances, than from Chen and Nordhaus (2011) who offer more limited support.2 Second, the longer DMSP time-series, from 1992 to 2013, is attractive to economists. Two caveats to that potential advantage are that night lights do better at predicting differences in economic variables over space than changes in those variables over time (Nordhaus and Chen, 2015; Goldblatt et al., 2020; Gibson and Boe-Gibson, 2020), and the time-series is old, with DMSP data stopping in 2013 while VIIRS data are available monthly with only a slight lag.3 Also, economists may have more slowly switched to using VIIRS night lights data, compared to other disciplines, because flaws in DMSP data are rarely highlighted in the economics literature. The remote sensing literature has several comparisons that highlight the superiority of VIIRS (e.g. Elvidge et al., 2013; Shi et al., 2014; Chen and Nordhaus, 2015, 2019) but these studies are rarely cited in economics journals.","""1"": ""Night lights data, specifically the Defense Meteorological Satellite Program (DMSP) data and the Visible Infrared Imaging Radiometer Suite (VIIRS) data, are used as a proxy for estimating regional GDP and inequality in rural and urban areas."",  ""2"": ""Over 150 studies in economics use night lights data, with most using DMSP data."",  ""3"": ""DMSP data has flaws including blurring, coarse resolution, no calibration, low dynamic range, top-coding, and unrecorded variation in sensor amplification."",  ""4"": ""VIIRS data is superior to DMSP data in terms of spatial accuracy, temporal comparability, and dynamic range."",  ""5"": ""Economists continue to use DMSP data due to larger scholarly impact and the longer time-series available."""
Pollution exposure and social conflicts: Evidence from China’s daily data,"The results of this paper offer compelling evidence on the short-term effects of pollution exposure on public governance by establishing its causal link to social conflicts at both daily and monthly frequencies, shedding light on a large but previously overlooked consequence of air pollution. Our baseline estimates suggest that an increase in air pollution is positively associated with a higher likelihood and numbers of social conflicts. Furthermore, our instrumental variable approaches yield consistent but substantially larger results compared to the estimates in the baseline fixed effect model, suggesting significant bias if endogeneity is not accounted for. In terms of nonlinearity, the impacts of air pollution on social conflicts display a monotonically increasing pattern, highlighting the need for particular attention to severe air pollution. Our baseline findings are robust to numerous checks, including data manipulation, alternative fixed effects and model specification, alternative instrument using wind patterns, and placebo tests. In addition, we observe a significant difference in the impact of air pollution on social conflicts for indoor vs. outdoor workers, with cumulative effects at the monthly level, while the estimated coefficient is higher in developed regions than in developing regions at the daily frequency level, which may be related to their differences in the awareness of rights defense. Lastly, we use lottery sales as a measure of risk preference and find that rising air pollution increases lottery sales, suggesting that the causal effects of air pollution on social conflicts may be triggered by an increased propensity to engage in risky actions.","Similar to climatic changes, air pollution might have an important influence on social interactions (Tiihonen et al., 2017), yet few studies exploring this empirical issue exist. A broad range of studies have highlighted the adverse effects of air pollution on many outcomes, including crime (Burkhardt et al., 2020; Herrnstadt et al., 2021), labor productivity (Borgschulte et al., 2022) and other human behaviors (Graff Zivin and Neidell, 2009), in the short and long run (Archsmith et al., 2018). More recent evidence in eco nomics demonstrates that exposure to air pollution can have adverse effects on the development of cognitive function and exacerbate the expression of anti-social behaviors associated with violence (Burkhardt et al., 2019; Sager, 2019; Walters, 2014). Accordingly, the possible underlying mechanism is that air pollution may alter the emotional disposition or risk preferences of individuals via some biological processes. Because of China’s extreme emphasis on maintaining social stability (i.e., “stability trumps everything” said by Deng Xiaoping), engaging in social conflicts, even for wage disputes, becomes a risky action. Thus, risk preferences, if associated with air pollution, could serve as a promising channel through which individuals’ decisions to participate in risky actions, such as social conflicts, may be affected. Individuals with increased risk preferences, under the influence of air pollution, may be more prone to being triggered. Thus, we first turn to the previous literature on medical and public health to reveal plausible mechanisms to establish the causal link between pollution exposure and social conflicts.

The medical and public health literature shows that air pollution might cause a series of physiological effects, which plausibly increase aggressive behaviors and contribute to violent crimes. For example, particulate matter (PM2.5, PM10) can directly trigger an inflammatory response in the central nervous system (Block and Calderon-Garcidue ′ nas, ? 2009), which is closely linked with aggression, anxiety and depression (Herrnstadt et al., 2021) and even lead to criminal or violent activities (Lu et al., 2018). Long-term exposure to particulate matter and ozone is closely associated with reduced pulmonary function (Xu et al., 2021). Carbon monoxide (CO) binds to hemoglobin, reducing the amount of absorbed oxygen and impairing coordination and cognition (Amitai et al., 1998; Chen et al., 2018a). Furthermore, pollution exposure may result in various biological outcomes, as documented in the medical literature (Herrnstadt et al., 2021), including elevated levels of stress hormones (Li et al., 2017; Murphy et al., 2013), reduced perceived control, increased impulsiveness, and changes in certain personality traits, such as time preferences (Lu et al., 2018; Power et al., 2015; Riis-Vestergaard et al., 2018; Sass et al., 2017). The latter outcome, i.e., time preferences, is related to the perceived risks and payoffs of violent behaviors (Bondy et al., 2020). In summary, if such pollution-related biological mechanisms are at play, exposure to air pollution, even in the short term, could be biologically linked to aggressive behaviors, eventually leading to increased social conflicts. In economics, several studies have explored links similar to those discussed in this paper, revealing potential mechanisms that may be at play. For instance, Sager (2019) demonstrates that how these channels can impair cognitive skills involved in driving performance, resulting in a 0.3–0.6% increase in the number of road traffic accidents per day for each additional 1 μg∕m3 of PM2.5 in the United Kingdom. Burkhardt et al. (2019) find that a 10% increase in same-day exposure to PM2.5 and ozone is associated with 0.14% and 0.3% increases in violent crimes, respectively. Moreover, exposure to air pollution could also be linked to negative emotions, which could underlie aggressive behaviors. For example, Zhang et al. (2017) show that air pollution reduces hedonic happiness and increases the rate of depressive symptoms.

","""1"": ""Air pollution has adverse effects on various outcomes, including crime, labor productivity, and human behaviors."",  ""2"": ""Exposure to air pollution can affect the development of cognitive function and increase anti-social behaviors associated with violence."",  ""3"": ""Air pollution may alter the emotional disposition or risk preferences of individuals through biological processes."",  ""4"": ""Air pollution can cause physiological effects that increase aggressive behaviors and contribute to violent crimes."",  ""5"": ""Long-term exposure to particulate matter and ozone is associated with reduced pulmonary function."",  ""6"": ""Exposure to air pollution can lead to elevated levels of stress hormones and changes in certain personality traits."",  ""7"": ""Air pollution reduces hedonic happiness and increases the rate of depressive symptoms."",  ""8"": ""China serves as an ideal setting for studying the effects of air pollution on social conflicts due to high-quality data availability and large variations in pollution levels."",  ""9"": ""The study uses a high-dimensional fixed effect technique and instrumental variable method to estimate the causal effects of air pollution on social conflicts."",  ""10"": ""Temperature inversion and wind patterns are used as exogenous shocks to pollution concentrations in the instrumental variable approach."",  ""11"": ""The study finds a positive and robust association between air pollution and social conflicts."",  ""12"": ""The effects of air pollution on social conflicts are nonlinear and more pronounced in severe pollution levels."",  ""13"": ""Differences in the impact of air pollution on social conflicts are observed for indoor vs. outdoor workers and developed vs. developing regions."",  ""14"": ""Rising air pollution increases lottery sales, suggesting an increased propensity to engage in risky actions."",  ""15"": ""The study contributes to the literature by examining the causal effect of air pollution on social conflicts and providing insights for policymakers to evaluate the social costs of air pollution."""
The effect of customer and supplier concentrations on firm resilience during the COVID-19 pandemic: Resource dependence and power balancing,,"The ongoing COVID-19 pandemic has been considered one of the biggest challenges since World War II (Pantano et al., 2020; Saiah et al., 2022). It not only threatens human health but also significantly cripples the global economy. One major economic manifestation is unprecedented disruptions and shifts in demand and supply (Craighead et al., 2020; Ivanov, 2020). Lock[1]down orders stifle demand for most goods and block the supply and movement of materials (Lee, Zhao, et al., 2020). The resumption of work and production sharply boosts demand but overwhelms supply lines (Lynch, 2021). These tumultuous disruptions in both the demand and supply ends have brought to the fore the importance of supply chain management more than ever before and have left managers wondering which supply chain characteristics can help firms combat and navigate the pandemic.",
Language and innovation,"Using a large sample of firms from 34 countries, we show that firms in countries where strong-FTR languages are spoken are less likely to engage in innovative activities than firms in countries where weak-FTR languages are spoken. After controlling for various firm-specific characteristics, formal institutions such as legal origin and patent rights protections and other informal institutions such as culture, we find that firms located in countries where strong-FTR languages are spoken register fewer patents and receive fewer citations than their weak-FTR counterparts. Economically, a strong-FTR language lowers patent counts by almost 11.2% from the mean value. Similarly, a strong-FTR language reduces citation counts by almost 27% from the mean value.","Dahl (1985) states that languages differ in how they grammatically reference the future. The particular language feature that underlies our study is future-time reference (FTR), which refers to whether the language requires speakers to grammatically mark future events. For example, English is a strong-FTR language that requires speakers to encode a distinction between present and future events, while German does not. To refer to future timing, an English speaker has to use future tense as denoted by will or going to. By contrast, a German speaker can reference a future event by using the present tense. The Sapir–Whorf Hypothesis (SWH) proposes that language structure may shape individuals’ beliefs and behaviors by affecting their perception of time. Specifically, grammatically separating the future and the present leads speakers to disassociate the future and the present, to feel that the future is more dis[1]tant and thus decrease the perceived present value of future rewards, devaluing future rewards. Abundant research in linguistics and psychology supports SWH and shows that languages discipline individuals’ decision-making and behaviors (Boroditsky, 2001; Evans & Levinson, 2009; Wolff & Holmes, 2011). Linking language to individual economic decisions, M. K. Chen (2013) finds that individuals speaking weak-FTR languages are more likely to engage in long-term[1]oriented behaviors, such as saving more, smoking less, practicing safer sex and being less obese. Subsequent studies attempt to associate language FTR with managers’ choices in the corporate domain. For example, S. Chen et al. (2017) show that firms located in countries where weak-FTR languages are spoken tend to have more precautionary savings. Liang et al. (2018) argue that firms located in countries where weak-FTR languages are spoken tend to invest more in corporate social responsibility and R&D. As innovation is a long-term process with high uncertainty (Holmstrom, 1989), SWH predicts that firms in countries where strong-FTR languages are spoken will engage in fewer innovative activities.",
The effect of rainfall changes on economic production,"We combine these rainfall measures with data on subnational eco nomic production from 1,554 regions across 77 countries3 resulting in over 30,000 observations over the past 40 years (see Methods for details). Using data at the subnational level allows for a more detailed spatial description of both climate and economic variables, which has been shown to help identify impacts in economic data3–5 . This is particularly crucial for assessments of rainfall, for which spatial variability is considerably larger than for temperature4 . We explicitly evaluate the spatial autocorrelation of these rainfall measures (Supplementary Fig. 1) at the subnational level of our economic data, the results of which suggest that the level of spatial detail used here is appropriate to address the problem of spatial aggregation (Supplementary Section 1). We then apply fixed-effects panel regression models to estimate the effect of these aspects of the distribution of daily rainfall on economic production. This approach uses within-region changes in climate variables from one year to the next to assess their impact on economic outcomes. As such, it allows us to account for unobserved differences between regions, contemporaneous global shocks and regional time trends (Methods), strengthening the identification of causal effects between changes in rainfall and economic production.","Considerable changes to Earth’s hydrological cycle are anticipated owing to anthropogenic climate change. The resulting effects on rainfall are heterogeneous across a variety of timescales and characteristics, reflecting the complex physical processes that underlie them. For example, daily rainfall extremes have increased globally8,9 owing to the relationship between atmospheric water vapour content and temperature10. Conversely, seasonal and annual averages are changing heterogeneously, with both regional wetting and drying, largely as a result of dynamical changes in the atmospheric circulation. Considering variability and seasonality adds further nuance to the anticipated response of rainfall to anthropogenic influence. Quantifying the costs of these complex changes remains an important barrier to a comprehensive assessment of the costs of climate change, particularly as rainfall has extensive potential for societal impacts. Alterations to water availability can subsequently affect agricultural productivity, metropolitan labour outcomes and the onset of conflict; in addition to which flash flooding can cause extensive damages and economic disruption.",
Intellectual capital and bank profitability: New evidence from Vietnam,"The findings show that there appear positive relationships between IC measures (VAIC and its components—human capital efficiency (HCE), capital employed efficiency (CEE), and structural capital efficiency (SCE)) and bank risk-adjusted returns in Vietnam. However, we find that the nonlinear relationships between IC measures (VAIC, HCE, and CEE) and bank profitability may exist. Also, higher profitability is associated with well-capitalized banks, those with lower liquidity risk, those with lending specialization, and small-sized ones. Furthermore, SOCBs tend to utilize intangible resources and human capital more efficiently than POCBs, thus earning higher profitability. The same is true for the case of foreign-owned banks with greater human capital efficiency.","Intellectual capital (IC) plays an essential role in a firm’s performance and creating value. It represents distinctive characteristics that, ceteris paribus, can determine the success or failure of a firm compared to its peers (El-Bannany, 2008). In the knowledge-based socio-economic period where IC is considered as one of the production factors, it is not surprising that IC has been much[1]received attention from many researchers from different disciplines, especially management, accounting, and finance. While several studies have attempted to define IC from a theoretical perspective (Bontis, 1998; Wu & Tsai, 2005), others have developed effective measures of IC-based performance (Pulic, 2000) or explored the relationship between IC efficiency and some key characteristics of firms, industries, and regions (El-Bannany, 2008; Liang et al., 2011). The last strand focuses on empirically examining the effect of IC efficiency on financial performance. Despite many studies on this strand, there are a limited number of studies that attempt to test this link in the banking sector. It is acknowledged that the banking industry is one of the most knowledge-intensive industries (Firer & Mitchell Williams, 2003; Mavridis & Kyrmizoglou, 2005) and represents an ideal setting for research on IC. One may argue that banks may gain valuable competitive advantages by tightening their relationship with their customers and making valuable investments in soft information production (Boot, 2000). Other studies however emphasize that an efficient IC is more important for achieving success in banking than other industries since the higher quality of products and/services offered to customers depends on the bank’s investments associated with IC such as human resources, brand building, systems, and processes. Hence, banks should manage their IC as efficiently as possible.","""1"": ""The study examines the relationship between intellectual capital (IC) and bank profitability in the context of Vietnam."",  ""2"": ""It explores the impact of IC measures on risk-adjusted returns and investigates the existence of a U-shaped relationship between IC measures and bank profitability."",  ""3"": ""Additionally, it analyzes the differences in this relationship among different types of bank ownership."",  ""4"": ""Intellectual capital (IC) plays an essential role in a firm’s performance and creating value."",  ""5"": ""It represents distinctive characteristics that can determine the success or failure of a firm compared to its peers."",  ""6"": ""IC has received attention from many researchers from different disciplines, especially management, accounting, and finance."",  ""7"": ""Several studies have attempted to define IC from a theoretical perspective and develop effective measures of IC-based performance."",  ""8"": ""The banking industry is one of the most knowledge-intensive industries and represents an ideal setting for research on IC."",  ""9"": ""Banks may gain valuable competitive advantages by tightening their relationship with customers and making valuable investments in soft information production."",  ""10"": ""An efficient IC is more important for achieving success in banking than other industries."",  ""11"": ""The Association of Southeast Asian Nations (ASEAN) has emerged as one of the fastest-growing economies in the world, with Vietnam being one of the leaders in economic performance."",  ""12"": ""The banking system is the backbone of the Vietnamese economy."",  ""13"": ""Healthy and sustainable profitability is one of the main predictors of financial distress and a bank crisis."",  ""14"": ""The presence of foreign-owned banks in the market has increased, resulting in fierce competition for deposits and loans."",  ""15"": ""Domestic banks should further improve their IC efficiency to compete."","
Does CSR Reduce Idiosyncratic Risk? Roles of Operational Efficiency and AI Innovation,"We first document that CSR can significantly and negatively affect IR. A firm’s one standard deviation increase in CSR will lead to a 0.655% decrease in IR. Subsequently, we include CSR-squared in our model and find that its coefficient is positive and significant, indicating that the relationship between CSR and IR is U-shaped. To explore the proposed underlying mechanism of this relationship, we analyze the effects of the two moderating variables (OE and AII) on the relationship obtained with the basic model. As we supposed, OE moderates the relationship by shifting the turning point to the right. This means that OE weakens the negative effect of CSR and thus high-OE firms can obtain a lower IR by improving CSR. Mean[1]while, AII moderates the U-shaped relationship by flattening the curve. This indicates that AII inhibits CSR’s positive effect, which conforms to the substitution effect of AII on CSR. These findings verify our analysis of the U-shaped relationship in which CSR has both negative and positive influences on IR. We also conduct several robustness checks and show that our results are consistent. Finally, we provide a discussion of these results and their managerial implications.","Corporate social responsibility (CSR) refers to various initiatives and activities taken by enterprises to achieve long-term economic, environmental, and social benefits (Du et al. 2011). With the development of technology and increasing social awareness of responsibility, CSR has been increasingly regarded as a vital competitive strategy for firms to mitigate risk (e.g., Godfrey 2005). Nevertheless, whether idiosyncratic risk (IR) in stock prices—an important financial indicator accounting for 85% of total risk (Goyal and Santa-Clara 2003)—can be reduced by engaging in CSR activities remains unclear. Notably, IR is the volatility of a company’s stock price caused by specific events (e.g., oil spills or labor strikes) that mainly influence only that company (Bansal and Clelland 2004, Luo and Bhattacharya 2009). Different from IR (or unsystematic risk), systematic risk refers to the sensitivity to deflation, exchange rate adjustment, and other common market changes that can affect all stocks (Luo and Bhattacharya 2009), and it accounts for the rest of total risk (15%). As such, investors and managers are more concerned about IR than about systematic risk. In particular, as IR is an important component of shareholder wealth (Srinivasan and Hanssens 2009), investors are more willing to choose stocks with a lower IR than those with a higher IR. Managers also care about IR, as companies with high IR often have difficulty in obtaining a stable cash flow and in developing new businesses. This may influence their ability to service debt and thus lead to company failure (Bansal and Clelland 2004). Therefore, IR is a vital risk that firms must consider and we focus on how CSR influences firm IR.","""1"": ""The identification strategy involves collecting data on Chinese firms listed on the Shenzhen Stock Exchange (SZSE) and Shanghai Stock Exchange (SHSE) from 2010 to 2017."",  ""2"": ""Monthly financial data and a four-factor asset pricing model are used to calculate idiosyncratic risk (IR) at the firm-year level."",  ""3"": ""Operational efficiency (OE) is measured using the stochastic frontier approach."",  ""4"": ""Artificial intelligence innovation (AII) is measured as the logarithm of AI-related invention patents and utility model patents."","
The deforestation effects of trade and agricultural productivity in Brazil,"Our findings unveil the distinct impacts of these two shocks and underscore the necessity of considering them together. When examining the effects of trade and productivity in isolation, we find that municipalities more exposed to the rising export demand from China experienced a more rapid decline in forest cover compared to less exposed areas. Similarly, municipalities with greater exposure to productivity gains from GE soy seeds experienced increased deforestation compared to areas that did benefit from the new technology. However, when these two are considered together, we find that only the GE soy seed shock remains statistically significant and economically meaningful. This implies that one would arrive at different conclusions regarding the impact of local exposure to export demand when analyzing it in isolation from the largest agricultural technological shock during that period.

We then investigate the combined effects of being exposed to both GE soy seeds and Chinese demand by adding an interaction between the two shocks to our econometric model. We find that while Chinese demand did not seem to exert a substantial direct differential impact on deforestation, it mitigated the deforestation impacts arising from GE soy seeds. This is because municipalities highly exposed to both shocks underwent a transition from cultivating other crops to soybeans, relieving pressure on the primary ecosystem and thereby reducing the relative impact of GE soy on deforestation.

We also break down the impacts on the extensive margin of crop production. We find that exposure to GE seeds increases the likelihood that a municipality engages in soy production, with this effect being more pronounced in municipalities exposed to both shocks. Interestingly, Chinese demand appears to have decreased the probability of soy cultivation in a given municipality. These findings suggest that GE seeds pushed soy production to areas that were previously economically unviable, with the effect being stronger in areas concurrently exposed to Chinese demand shocks. However, the soy extensive margin impact of the combined shocks was not enough to drive deforestation up, because of the reduction in the area allocated to other crops and in the probability of these other crops being planted.","The effects of trade and agricultural productivity on deforestation are theoretically ambiguous (Grossman and Krueger, 1991, Jayachandran, 2021, Balboni et al., 2023). On the one hand, heightened productivity may result in production intensification, reducing the necessity for expanding agricultural land. On the other hand, increased productivity can attract capital and labor into the agricultural sector, expanding the agriculture frontier over the forests. Furthermore, technology and trade are interconnected (Autor et al., 2015). For example, trade can yield productivity gains by offering access to cheaper inputs and stimulating innovation.4 Simultaneously, improvements in agricultural productivity can alter a country’s comparative advantage, fostering production specialization. Importantly, the full benefits of agricultural productivity gains can only be realized in the presence of domestic or international demand for those products.",
"Trust, violence, and coca","Broadly, this paper presents three sets of results. First, at the mean, violence has a negative and statistically significant effect on different measures of social capital. The estimated effect is quantitatively large and robust to alternative explanations of spillover effects and economic activity. A one standard deviation increase in the rate of violence is associated with a 38%, 22%, and 23% standard deviation decrease in trust, participation in community organizations, and contribution to solving problems, respectively. The magnitude of the effect is relatively large; taking trust as an example, this corresponds to the difference in trust levels between Germany and Colombia.6 Second, these results seem to be driven by the fact that (as observed in other non-related conflicts) no basic cues were available to identify friend from foe, making people especially wary about whom they could trust. To this regard, I present evidence that individuals were afraid to interact with their communities. Indeed, they report a fear of running in local elections as well as of participating in community organizations as a result of non-identifiable perpetrators.

Finally, I document that the intensity of the exposure to violence matters as well. Low exposure to violence fosters social capital, possibly because local cooperation serves as a strategy to confront external threats. However, as violence becomes increasingly severe, social capital is negatively affected, consistent with the theoretical framework presented by Jennings and Sanchez-Pages (2017). My estimates imply that individuals living in a Colombian municipality with the same level of violence as in the U.S., become more involved with their communities when experiencing violence, arguably a way of reacting in difficult times. This contrasts with an observed decrease in social capital in municipalities that have experienced levels of violence similar to Brazil or Mexico. Additionally, I show that when communities are able to identify the perpetrators, the decrease in social capital is less strong as compared to when it is not possible to identify the perpetrators. Thus, the results of this study provide crucial insights for understanding the effects of conflict in other developing countries.","Colombia provides an ideal setting for studying this question for a number of reasons. First, this country has one of the highest levels of violence worldwide. For the period of analysis, the homicide rate was 25 per 100,000 individuals. There is, moreover, substantial variation in violence over time and across the nation (UNODC, 2009).4 Second, Colombia has collected data on social capital measures during times of conflict, whereas most of the currently available evidence is based on post-conflict settings. Third, armed groups largely rely on the production of coca to finance their fighting, such that exogenous shocks to the Colombian coca market can be used to identify the effect of violence on social capital. These exogenous sources of variation are given by cross-sectional variation in the ecological conditions for growing coca, and shocks in other coca-producing countries. I am thus able to combine rich data on conflict with different measures of social capital, with location fixed effects. Finally, the Colombian conflict is not driven by polarizations based on readable characteristics, such as religion or ethnicity, but rather offers a unified setting, where it is possible to distinguish between clashes where the perpetrators can, or cannot, be identified. I argue that this particular feature of the conflict allows to study the seemingly contradictory effects of conflict on social capital presented in the literature.",
Mothers at peace: International peacebuilding and post-conflict fertility,"Our findings suggest that peacebuilding has a significant, negative effect on fertility. We find that the likelihood of having a child decline by 5 percentage points and the total number of children per woman drops by 24% for women close to UN bases. This effect is particularly pronounced among older and married women, and those with more children at the time of the UN deployment. In exploring the mechanisms underpinning these findings, we find evidence of increased contraceptive use, increased access to healthcare and better health outcomes for women and children, which suggest a shift towards a “quality over quantity” approach to parenting. In addition, we observe a shift in parents' employment away from farming toward more clerical jobs as well as sales and service sectors, which have higher labour productivity and higher salaries, resulting in a higher childbearing opportunity cost.","The UN has established over 70 peacekeeping operations (PKOs) worldwide since 1960, in an effort to stabilize conflict zones and protect civilians. Currently, approximately 70,000 multinational personnel, also known as Blue Helmets, are deployed in 12 operations across the world, tasked with maintaining or enforcing peace. Despite facing a persistent shortage of resources and the failure to protect civilians in some emblematic cases, such as Rwanda, large-N studies demonstrate that peacekeeping has a positive effect on reducing violence in ongoing civil wars and the likelihood of conflict reoccurrence, even in the most challenging contexts (e.g., Beardsley 2011; Bove et al., 2020; Di Salvatore and Ruggeri 2017; Hegre et al., 2019; Hultman et al., 2013; Ruggeri et al., 2017). Peacekeepers also contribute to household well-being by revitalizing economic exchanges, promoting labour market participation, and building confidence and trust (Beber et al., 2019; Bove and Elia, 2018; Bove et al., 2021; Carnahan et al., 2006; Caruso et al., 2017; Cil et al., 2019; Nomikos 2022).1 The presence of peacekeepers has also a positive effect on maternal health outcomes, reducing maternal mortality rates and increasing access to services and education for women (Gizelis and Cao 2021).

UN peacekeeping missions are crucial in ensuring that basic public services, including medical services, are available and accessible by vulnerable populations. This is due to the security they provide. In addition, they oftentimes directly provide essential healthcare equipment and products.2 Indeed, contemporary UN interventions are not limited to keeping the peace – they aim at building sustainable and long-term peace (Campbell and Di Salvatore, 2023).3 This implies that the presence of UN peacekeepers not only offers a reduction in violence, but also the security umbrella essential to the provision of and access to basic public services and to the revival of the local economic activites. This article focuses on how peacekeeping operations, by enabling NGOs and governments to function more effectively and promoting revitalization of economic activities, are expected to affect fertility rates. Indeed, this enhanced peace provided by UN interventions creates a qualitative difference from post-conflict settings where peace is present but access to services may still be lacking.","""Political background"": ""The political background of the explanatory variable is the United Nations peacekeeping missions, which aim to stabilize conflict zones and protect civilians. Currently, approximately 70,000 multinational personnel, known as Blue Helmets, are deployed in 12 operations worldwide."","
